Transaction_ID,Transaction_Reference,Transaction_Date,Transaction_Time,prediction_timestamp,Transaction_Amount,Transaction_Type,Payment_Mode,Channel,Bank_Name,sourceHashedAccNo,destinationHashedAccNo,ATM_ID,City,District,State,Latitude,Longitude,Is_Fraud,Fraud_Type,Mule_Chain_Hop,DeviceID,IP_Address,LoginAttempts,TransactionDuration,AccountBalance,ATM_Type,ATM_Onsite_Offsite,ATM_Indoor_Outdoor,ATM_Operating_Status,CCTV_Available,Security_Guard_Present,Shutter_Lock_Present,Location_Type,Urban_Rural,Complaint_Count_7D,Complaint_Count_30D,Complaint_Count_90D,Fraud_Count_7D,Fraud_Count_30D,Fraud_Count_90D,Total_Loss_7D,Total_Loss_30D,Total_Loss_90D,Average_Loss_30D,Withdrawal_Count_7D,Withdrawal_Count_30D,Withdrawal_Amount_30D,ATM_Fraud_Count_30D,Location_Fraud_Count_30D,Local_Fraud_Density,Nearby_ATM_Count,Average_Withdrawal_Amount_30D,Transaction_Velocity_1H,Transaction_Velocity_6H,Transaction_Velocity_24H,Withdrawal_Velocity_24H,future_cashout,future_withdrawal_volume
TXN_20260601_039809,UTR20260601217092,2026-06-01,00:19:29,2026-06-01 00:19:29,722.3,Debit,UPI,UPI,State Bank of India,6d346a1f37061b2b,45c165fb65a7ed2a,NONE,Alwar,Alwar,Rajasthan,27.561876,76.620091,0,,0,DEV_2551,103.33.110.38,1,47.3,4293.03,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,12,0.0,0,0,0,0,0,0.0
TXN_20260601_052585,UTR20260601387701,2026-06-01,00:39:05,2026-06-01 00:39:05,15000.0,Transfer,UPI,UPI,State Bank of India,8859797bdc6f1666,855c24c9f85b31e7,NONE,Gurgaon/Gurugram,Gurugram,Haryana,28.470079,77.032216,1,UPI Phishing & Impersonation,1,DEV_MULE_314,182.160.21.71,3,17.9,1954.41,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,12,0.0,0,0,0,0,0,0.0
TXN_20260601_052586,UTR20260601731294,2026-06-01,00:48:05,2026-06-01 00:48:05,13933.15,Transfer,UPI,UPI,State Bank of India,855c24c9f85b31e7,f23bc5d5012fecb4,NONE,Gurgaon/Gurugram,Gurugram,Haryana,28.455166,77.015429,1,UPI Phishing & Impersonation,2,DEV_MULE_900,182.184.145.14,2,12.6,3634.84,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,1,1,1,1,1,1,15000.0,15000.0,15000.0,15000.0,0,0,0.0,1,1,1.0,12,0.0,1,1,1,0,0,0.0
TXN_20260601_052225,UTR20260601280289,2026-06-01,00:58:20,2026-06-01 00:58:20,75000.0,Transfer,UPI,UPI,HDFC Bank,63196098b46154ea,0f2a1f999d8f821f,NONE,Delhi,Central Delhi,Delhi,28.610944,77.218392,1,Card Cloning,1,DEV_MULE_871,182.206.9.124,3,24.0,10761.46,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,2,2,2,2,2,2,28933.15,28933.15,28933.15,14466.58,0,0,0.0,2,2,2.0,12,0.0,0,0,0,0,0,0.0
TXN_20260601_052226,UTR20260601115696,2026-06-01,01:02:20,2026-06-01 01:02:20,59540.68,Transfer,UPI,UPI,HDFC Bank,0f2a1f999d8f821f,90921fa0f6cddf0b,NONE,Delhi,Central Delhi,Delhi,28.620545,77.201304,1,Card Cloning,2,DEV_MULE_876,182.212.134.211,2,6.0,2397.64,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,3,3,3,3,3,3,103933.15,103933.15,103933.15,34644.38,0,0,0.0,3,3,3.0,12,0.0,1,1,1,0,0,0.0
TXN_20260601_030003,UTR20260601118552,2026-06-01,01:07:05,2026-06-01 01:07:05,15000.0,Debit,ATM,ATM,ICICI Bank,674949a64a5fe104,e644ef2bb04b843c,ATM_DEL_0395,Delhi,Central Delhi,Delhi,28.672845,77.195143,0,,0,DEV_7725,103.170.105.54,1,12.2,3842.62,Bank-Owned,Offsite,Outdoor,Active,True,True,False,Market,Semi-Urban,4,4,4,4,4,4,163473.83,163473.83,163473.83,40868.46,0,0,0.0,4,4,4.0,12,0.0,0,0,0,0,0,0.0
TXN_20260601_052587,UTR20260601822136,2026-06-01,01:12:05,2026-06-01 01:12:05,10000.0,Debit,ATM,ATM,State Bank of India,f23bc5d5012fecb4,f145ec6cb0917c0d,ATM_GUR_0463,Gurgaon/Gurugram,Gurugram,Haryana,28.438129,76.97708,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0463,10.24.159.69,2,43.8,1520.93,Bank-Owned,Offsite,Indoor,Active,True,False,True,Shopping_Mall,Urban,4,4,4,4,4,4,163473.83,163473.83,163473.83,40868.46,1,1,15000.0,4,4,2.0,12,15000.0,0,0,0,0,0,0.0
TXN_20260601_028719,UTR20260601743532,2026-06-01,01:28:48,2026-06-01 01:28:48,1757.59,Transfer,UPI,UPI,Punjab National Bank,56c10ef36c5cd054,7f15df39507a008d,NONE,Mathura,Mathura,Uttar Pradesh,27.51347,77.692395,0,,0,DEV_2676,103.12.230.74,1,51.9,12143.01,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,5,5,5,5,5,5,173473.83,173473.83,173473.83,34694.77,2,2,25000.0,5,5,1.6667,12,12500.0,0,0,0,0,0,0.0
TXN_20260601_052227,UTR20260601693688,2026-06-01,01:35:20,2026-06-01 01:35:20,40000.0,Debit,ATM,ATM,HDFC Bank,90921fa0f6cddf0b,f145ec6cb0917c0d,ATM_DEL_0205,Delhi,Central Delhi,Delhi,28.639486,77.258824,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0205,10.24.166.195,1,34.5,1008.16,White-Label,Offsite,Indoor,Active,True,False,True,Highway,Semi-Urban,5,5,5,5,5,5,173473.83,173473.83,173473.83,34694.77,2,2,25000.0,5,5,1.6667,12,12500.0,0,0,0,0,0,0.0
TXN_20260601_009004,UTR20260601629317,2026-06-01,01:38:39,2026-06-01 01:38:39,219.63,Debit,UPI,UPI,State Bank of India,209ad8a06f38b8dc,f71b5d958f776ca2,NONE,Alwar,Alwar,Rajasthan,27.571626,76.682541,0,,0,DEV_2119,103.92.111.30,1,20.4,15796.48,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,6,6,6,6,6,6,213473.83,213473.83,213473.83,35578.97,3,3,65000.0,6,6,1.5,12,21666.67,0,1,1,0,0,0.0
TXN_20260601_014338,UTR20260601198062,2026-06-01,01:55:17,2026-06-01 01:55:17,5000.0,Debit,ATM,ATM,State Bank of India,c9608209346c0847,f62c108575685623,ATM_GUR_0352,Gurgaon/Gurugram,Gurugram,Haryana,28.437817,77.040542,0,,0,DEV_1783,103.235.34.83,1,15.2,15799.85,Bank-Owned,Offsite,Outdoor,Active,True,True,True,Commercial_Area,Urban,6,6,6,6,6,6,213473.83,213473.83,213473.83,35578.97,3,3,65000.0,6,6,1.5,12,21666.67,0,0,0,0,0,0.0
TXN_20260601_040938,UTR20260601690577,2026-06-01,01:57:59,2026-06-01 01:57:59,276.13,Debit,Online,Online,Punjab National Bank,238d3f7f9be8fe11,f4c726cc34a156d5,NONE,Dumka,Dumka,Jharkhand,24.270554,87.253938,0,,0,DEV_9810,103.63.157.128,1,56.6,3872.13,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,6,6,6,6,6,6,213473.83,213473.83,213473.83,35578.97,4,4,70000.0,6,6,1.2,12,17500.0,0,0,0,0,0,0.0
TXN_20260601_030462,UTR20260601158364,2026-06-01,02:01:46,2026-06-01 02:01:46,3000.0,Debit,ATM,ATM,IndusInd Bank,af611d83232e8718,852f7355d5d82edc,ATM_DEL_0353,Delhi,Central Delhi,Delhi,28.638486,77.236018,0,,0,DEV_8615,103.29.24.51,1,10.1,25879.59,Bank-Owned,Offsite,Outdoor,Active,True,False,False,Commercial_Area,Urban,6,6,6,6,6,6,213473.83,213473.83,213473.83,35578.97,4,4,70000.0,6,6,1.2,12,17500.0,0,0,0,0,0,4000.0
TXN_20260601_056446,UTR20260601978513,2026-06-01,02:04:50,2026-06-01 02:04:50,75000.0,Transfer,UPI,UPI,Bank of Baroda,e7e9813d11d0339d,d84e8ce4a1e4e696,NONE,Mathura,Mathura,Uttar Pradesh,27.488202,77.681116,1,Card Cloning,1,DEV_MULE_676,182.163.216.161,3,30.2,15416.23,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,6,6,6,6,6,6,213473.83,213473.83,213473.83,35578.97,5,5,73000.0,6,6,1.0,12,14600.0,1,1,1,0,0,0.0
TXN_20260601_056447,UTR20260601562250,2026-06-01,02:14:50,2026-06-01 02:14:50,56490.16,Transfer,UPI,UPI,Bank of Baroda,d84e8ce4a1e4e696,5b906b46a1ae1e2f,NONE,Mathura,Mathura,Uttar Pradesh,27.493492,77.651162,1,Card Cloning,2,DEV_MULE_107,182.148.184.48,2,28.3,5383.33,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,7,7,7,7,7,7,288473.83,288473.83,288473.83,41210.55,5,5,73000.0,7,7,1.1667,12,14600.0,2,2,2,0,0,0.0
TXN_20260601_054121,UTR20260601695761,2026-06-01,02:23:02,2026-06-01 02:23:02,15000.0,Transfer,UPI,UPI,Bank of Baroda,78b71d70850694b3,a75ea9220a53636e,NONE,Kaman,Bharatpur,Rajasthan,27.665913,77.266199,1,OTP / SIM-Swap Fraud,1,DEV_MULE_574,182.171.44.77,3,33.3,8473.54,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,8,8,8,8,8,8,344963.99,344963.99,344963.99,43120.5,5,5,73000.0,8,8,1.3333,12,14600.0,0,0,0,0,0,0.0
TXN_20260601_001481,UTR20260601211565,2026-06-01,02:26:55,2026-06-01 02:26:55,1180.21,Credit,POS/Card,POS/Card,Bank of Baroda,5568f423f202fb94,0ca02c63edf5dccb,NONE,Patna,Patna,Bihar,25.634817,85.153886,0,,0,DEV_6280,103.167.217.56,1,102.1,5698.22,Online/Digital,,,Active,False,False,False,Commercial_Area,Urban,9,9,9,9,9,9,359963.99,359963.99,359963.99,39996.0,5,5,73000.0,9,9,1.5,12,14600.0,0,0,0,0,0,0.0
