ATM_ID,ATM_Bank,ATM_Location,ATM_City,ATM_District,ATM_State,ATM_Latitude,ATM_Longitude,ATM_Type,ATM_Onsite_Offsite,ATM_Indoor_Outdoor,ATM_Operating_Status,CCTV_Available,CCTV_Footage_Available,CCTV_Footage_Reviewed,Card_Skimming_Device_Detected,ATM_Tampering_Detected,ATM_Malfunction,Security_Guard_Present,Shutter_Lock_Present,Location_Type,Urban_Rural
ATM_HOW_0001,State Bank of India,"Market Kiosk, Howrah",Howrah,Howrah,West Bengal,22.591023,88.296934,Bank-Owned,Onsite,Outdoor,Active,True,False,False,False,False,False,False,True,Market,Semi-Urban
ATM_JAI_0002,State Bank of India,"Market Kiosk, Jaipur",Jaipur,Jaipur,Rajasthan,26.935802,75.800194,White-Label,Onsite,Indoor,Active,True,False,False,False,False,False,False,True,Market,Semi-Urban
ATM_MAT_0003,ICICI Bank,"Market Kiosk, Mathura",Mathura,Mathura,Uttar Pradesh,27.477917,77.598621,Bank-Owned,Offsite,Indoor,Active,True,False,False,False,False,False,False,True,Market,Semi-Urban
ATM_KOL_0004,Axis Bank,"Market Kiosk, Kolkata",Kolkata,Kolkata,West Bengal,22.537494,88.316416,Brown-Label,Offsite,Outdoor,Active,False,False,False,False,False,False,False,True,Market,Semi-Urban
ATM_DEL_0005,ICICI Bank,"Shopping Mall Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.595013,77.157323,White-Label,Offsite,Indoor,Active,True,True,True,False,False,False,False,False,Shopping_Mall,Urban
ATM_PAT_0006,Canara Bank,"Residential Kiosk, Patna",Patna,Patna,Bihar,25.519543,85.178637,White-Label,Onsite,Outdoor,Active,True,True,True,False,False,False,True,True,Residential,Semi-Urban
ATM_PUN_0007,Bank of Baroda,"Bus Stand Kiosk, Punahana",Punahana,Nuh,Haryana,27.882522,77.261903,Bank-Owned,Onsite,Outdoor,Active,True,True,False,False,False,False,True,True,Bus_Stand,Semi-Urban
ATM_ALW_0008,ICICI Bank,"Commercial Area Kiosk, Alwar",Alwar,Alwar,Rajasthan,27.518698,76.617946,Bank-Owned,Offsite,Outdoor,Active,True,True,False,False,False,False,False,True,Commercial_Area,Urban
ATM_PUN_0009,State Bank of India,"Commercial Area Kiosk, Punahana",Punahana,Nuh,Haryana,27.879617,77.230045,Brown-Label,Onsite,Outdoor,Active,True,True,False,False,False,False,False,False,Commercial_Area,Urban
ATM_DEL_0010,State Bank of India,"Shopping Mall Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.593484,77.175186,Bank-Owned,Offsite,Indoor,Active,False,False,False,False,False,False,True,False,Shopping_Mall,Urban
ATM_KOL_0011,Bank of Baroda,"Market Kiosk, Kolkata",Kolkata,Kolkata,West Bengal,22.54307,88.408395,Bank-Owned,Offsite,Outdoor,Active,True,True,False,False,False,False,True,False,Market,Semi-Urban
ATM_DEL_0012,HDFC Bank,"Market Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.582919,77.209965,Bank-Owned,Offsite,Outdoor,Active,True,True,False,False,False,False,False,True,Market,Semi-Urban
ATM_DEL_0013,Axis Bank,"Commercial Area Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.604959,77.224789,Brown-Label,Onsite,Outdoor,Active,True,False,False,False,False,False,False,False,Commercial_Area,Urban
ATM_DEO_0014,Bank of Baroda,"Highway Kiosk, Deoghar",Deoghar,Deoghar,Jharkhand,24.507792,86.685744,Brown-Label,Offsite,Indoor,Active,True,True,False,False,False,False,True,True,Highway,Semi-Urban
ATM_JAI_0015,Bank of Baroda,"Educational Area Kiosk, Jaipur",Jaipur,Jaipur,Rajasthan,26.848076,75.751795,Brown-Label,Offsite,Indoor,Active,True,False,False,False,False,False,False,False,Educational_Area,Semi-Urban
ATM_KOL_0016,Axis Bank,"Commercial Area Kiosk, Kolkata",Kolkata,Kolkata,West Bengal,22.556202,88.327845,Bank-Owned,Offsite,Indoor,Active,True,True,False,False,False,False,True,False,Commercial_Area,Urban
ATM_MAT_0017,Bank of Baroda,"Bus Stand Kiosk, Mathura",Mathura,Mathura,Uttar Pradesh,27.484597,77.61641,Bank-Owned,Offsite,Outdoor,Degraded,True,True,True,False,False,False,False,True,Bus_Stand,Semi-Urban
ATM_DHA_0018,State Bank of India,"Bus Stand Kiosk, Dhanbad",Dhanbad,Dhanbad,Jharkhand,23.827923,86.42887,Bank-Owned,Onsite,Indoor,Active,True,True,False,False,False,False,True,False,Bus_Stand,Semi-Urban
ATM_DEL_0019,Canara Bank,"Commercial Area Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.623612,77.200672,Bank-Owned,Offsite,Indoor,Active,True,True,False,False,False,False,False,True,Commercial_Area,Urban
ATM_KOL_0020,HDFC Bank,"Railway Station Kiosk, Kolkata",Kolkata,Kolkata,West Bengal,22.541878,88.363781,Bank-Owned,Offsite,Outdoor,Active,True,False,False,False,False,False,True,False,Railway_Station,Semi-Urban
ATM_GUR_0021,State Bank of India,"Highway Kiosk, Gurgaon/Gurugram",Gurgaon/Gurugram,Gurugram,Haryana,28.495055,77.03268,White-Label,Offsite,Indoor,Active,True,True,True,False,False,False,True,True,Highway,Semi-Urban
ATM_BHA_0022,HDFC Bank,"Bus Stand Kiosk, Bharatpur",Bharatpur,Bharatpur,Rajasthan,27.20806,77.545232,Bank-Owned,Offsite,Indoor,Active,True,True,True,False,False,False,True,True,Bus_Stand,Semi-Urban
ATM_KOL_0023,State Bank of India,"Market Kiosk, Kolkata",Kolkata,Kolkata,West Bengal,22.542976,88.333132,Bank-Owned,Offsite,Indoor,Active,True,True,True,False,False,False,True,True,Market,Semi-Urban
ATM_KOL_0024,ICICI Bank,"Commercial Area Kiosk, Kolkata",Kolkata,Kolkata,West Bengal,22.578453,88.375139,Brown-Label,Onsite,Outdoor,Active,True,False,False,False,False,False,True,True,Commercial_Area,Urban
ATM_ALW_0025,Bank of Baroda,"Commercial Area Kiosk, Alwar",Alwar,Alwar,Rajasthan,27.580641,76.576414,Bank-Owned,Onsite,Indoor,Active,True,True,False,False,False,False,True,False,Commercial_Area,Urban
ATM_KOL_0026,HDFC Bank,"Railway Station Kiosk, Kolkata",Kolkata,Kolkata,West Bengal,22.584991,88.380243,White-Label,Offsite,Indoor,Active,True,True,False,False,False,False,True,False,Railway_Station,Semi-Urban
ATM_DEL_0027,Bank of Baroda,"Shopping Mall Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.58752,77.245095,White-Label,Offsite,Indoor,Active,True,True,False,False,False,False,True,False,Shopping_Mall,Urban
ATM_PAT_0028,ICICI Bank,"Commercial Area Kiosk, Patna",Patna,Patna,Bihar,25.596356,85.179967,Bank-Owned,Onsite,Outdoor,Active,True,True,False,False,False,True,True,False,Commercial_Area,Urban
ATM_KAM_0029,Bank of Baroda,"Commercial Area Kiosk, Kaman",Kaman,Bharatpur,Rajasthan,27.626063,77.260344,Bank-Owned,Onsite,Indoor,Active,True,True,True,False,False,False,True,False,Commercial_Area,Urban
ATM_DEL_0030,Bank of Baroda,"Commercial Area Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.584129,77.239347,Bank-Owned,Offsite,Outdoor,Active,True,True,False,False,False,False,True,False,Commercial_Area,Urban
ATM_ALW_0031,ICICI Bank,"Shopping Mall Kiosk, Alwar",Alwar,Alwar,Rajasthan,27.550677,76.556028,Bank-Owned,Offsite,Outdoor,Active,True,True,True,False,False,False,True,True,Shopping_Mall,Urban
ATM_ALW_0032,State Bank of India,"Market Kiosk, Alwar",Alwar,Alwar,Rajasthan,27.553081,76.659828,White-Label,Offsite,Outdoor,Active,True,True,False,False,False,False,True,False,Market,Semi-Urban
ATM_DUM_0033,Punjab National Bank,"Market Kiosk, Dumka",Dumka,Dumka,Jharkhand,24.259985,87.241762,Bank-Owned,Offsite,Indoor,Active,True,True,True,False,False,False,False,True,Market,Semi-Urban
ATM_DEL_0034,Punjab National Bank,"Commercial Area Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.629197,77.18252,Bank-Owned,Onsite,Indoor,Active,True,True,False,False,False,False,True,False,Commercial_Area,Urban
ATM_BHA_0035,State Bank of India,"Commercial Area Kiosk, Bharatpur",Bharatpur,Bharatpur,Rajasthan,27.189428,77.495506,Bank-Owned,Offsite,Outdoor,Active,True,True,False,False,False,False,True,True,Commercial_Area,Urban
ATM_DEL_0036,Punjab National Bank,"Residential Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.593852,77.194722,Bank-Owned,Offsite,Indoor,Active,True,True,False,False,False,False,False,False,Residential,Semi-Urban
ATM_DEL_0037,Bank of Baroda,"Railway Station Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.608951,77.141803,Bank-Owned,Offsite,Indoor,Active,True,True,False,False,False,False,False,False,Railway_Station,Semi-Urban
ATM_DHA_0038,State Bank of India,"Market Kiosk, Dhanbad",Dhanbad,Dhanbad,Jharkhand,23.801285,86.390199,Brown-Label,Offsite,Outdoor,Active,True,True,True,False,False,False,True,True,Market,Semi-Urban
ATM_PUN_0039,State Bank of India,"Shopping Mall Kiosk, Punahana",Punahana,Nuh,Haryana,27.889427,77.246087,Brown-Label,Offsite,Outdoor,Active,True,True,True,False,False,False,True,True,Shopping_Mall,Urban
ATM_DUM_0040,Bank of Baroda,"Market Kiosk, Dumka",Dumka,Dumka,Jharkhand,24.347832,87.242817,White-Label,Offsite,Outdoor,Active,True,True,True,False,False,True,False,True,Market,Semi-Urban
ATM_DEL_0041,Axis Bank,"Market Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.645774,77.210281,Brown-Label,Onsite,Indoor,Active,True,True,True,False,False,False,True,True,Market,Semi-Urban
ATM_PAT_0042,HDFC Bank,"Shopping Mall Kiosk, Patna",Patna,Patna,Bihar,25.538374,85.122009,Bank-Owned,Onsite,Indoor,Active,True,True,False,False,False,False,True,False,Shopping_Mall,Urban
ATM_PAT_0043,State Bank of India,"Railway Station Kiosk, Patna",Patna,Patna,Bihar,25.621458,85.14162,White-Label,Onsite,Outdoor,Active,True,True,True,False,False,False,True,True,Railway_Station,Semi-Urban
ATM_DEL_0044,Punjab National Bank,"Commercial Area Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.629026,77.166967,White-Label,Offsite,Outdoor,Active,True,True,False,False,False,False,True,True,Commercial_Area,Urban
ATM_DEL_0045,State Bank of India,"Market Kiosk, Delhi",Delhi,Central Delhi,Delhi,28.616778,77.261816,White-Label,Offsite,Indoor,Active,True,True,True,False,False,False,False,True,Market,Semi-Urban
ATM_JAI_0046,State Bank of India,"Bus Stand Kiosk, Jaipur",Jaipur,Jaipur,Rajasthan,26.931456,75.759027,Bank-Owned,Offsite,Outdoor,Active,True,True,False,False,False,False,True,False,Bus_Stand,Semi-Urban
ATM_FAR_0047,State Bank of India,"Market Kiosk, Faridabad",Faridabad,Faridabad,Haryana,28.459873,77.360801,Bank-Owned,Offsite,Outdoor,Active,True,True,False,False,False,False,True,False,Market,Semi-Urban
ATM_ALW_0048,ICICI Bank,"Commercial Area Kiosk, Alwar",Alwar,Alwar,Rajasthan,27.544713,76.66446,White-Label,Offsite,Indoor,Active,False,False,False,False,False,False,False,True,Commercial_Area,Urban
