Transaction_ID,Transaction_Reference,Transaction_Date,Transaction_Time,prediction_timestamp,Transaction_Amount,Transaction_Type,Payment_Mode,Channel,Bank_Name,sourceHashedAccNo,destinationHashedAccNo,ATM_ID,City,District,State,Latitude,Longitude,Is_Fraud,Fraud_Type,Mule_Chain_Hop,DeviceID,IP_Address,LoginAttempts,TransactionDuration,AccountBalance
TXN_20260601_039809,UTR20260601217092,2026-06-01,00:19:29,2026-06-01 00:19:29,722.3,Debit,UPI,UPI,State Bank of India,6d346a1f37061b2b,45c165fb65a7ed2a,NONE,Alwar,Alwar,Rajasthan,27.561876,76.620091,0,None,0,DEV_2551,103.33.110.38,1,47.3,4293.03
TXN_20260601_052585,UTR20260601387701,2026-06-01,00:39:05,2026-06-01 00:39:05,15000.0,Transfer,UPI,UPI,State Bank of India,8859797bdc6f1666,855c24c9f85b31e7,NONE,Gurgaon/Gurugram,Gurugram,Haryana,28.470079,77.032216,1,UPI Phishing & Impersonation,1,DEV_MULE_314,182.160.21.71,3,17.9,1954.41
TXN_20260601_052586,UTR20260601731294,2026-06-01,00:48:05,2026-06-01 00:48:05,13933.15,Transfer,UPI,UPI,State Bank of India,855c24c9f85b31e7,f23bc5d5012fecb4,NONE,Gurgaon/Gurugram,Gurugram,Haryana,28.455166,77.015429,1,UPI Phishing & Impersonation,2,DEV_MULE_900,182.184.145.14,2,12.6,3634.84
TXN_20260601_052225,UTR20260601280289,2026-06-01,00:58:20,2026-06-01 00:58:20,75000.0,Transfer,UPI,UPI,HDFC Bank,63196098b46154ea,0f2a1f999d8f821f,NONE,Delhi,Central Delhi,Delhi,28.610944,77.218392,1,Card Cloning,1,DEV_MULE_871,182.206.9.124,3,24.0,10761.46
TXN_20260601_052226,UTR20260601115696,2026-06-01,01:02:20,2026-06-01 01:02:20,59540.68,Transfer,UPI,UPI,HDFC Bank,0f2a1f999d8f821f,90921fa0f6cddf0b,NONE,Delhi,Central Delhi,Delhi,28.620545,77.201304,1,Card Cloning,2,DEV_MULE_876,182.212.134.211,2,6.0,2397.64
TXN_20260601_030003,UTR20260601118552,2026-06-01,01:07:05,2026-06-01 01:07:05,15000.0,Debit,ATM,ATM,ICICI Bank,674949a64a5fe104,e644ef2bb04b843c,ATM_DEL_0395,Delhi,Central Delhi,Delhi,28.672845,77.195143,0,None,0,DEV_7725,103.170.105.54,1,12.2,3842.62
TXN_20260601_052587,UTR20260601822136,2026-06-01,01:12:05,2026-06-01 01:12:05,10000.0,Debit,ATM,ATM,State Bank of India,f23bc5d5012fecb4,f145ec6cb0917c0d,ATM_GUR_0463,Gurgaon/Gurugram,Gurugram,Haryana,28.438129,76.97708,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0463,10.24.159.69,2,43.8,1520.93
TXN_20260601_028719,UTR20260601743532,2026-06-01,01:28:48,2026-06-01 01:28:48,1757.59,Transfer,UPI,UPI,Punjab National Bank,56c10ef36c5cd054,7f15df39507a008d,NONE,Mathura,Mathura,Uttar Pradesh,27.51347,77.692395,0,None,0,DEV_2676,103.12.230.74,1,51.9,12143.01
TXN_20260601_052227,UTR20260601693688,2026-06-01,01:35:20,2026-06-01 01:35:20,40000.0,Debit,ATM,ATM,HDFC Bank,90921fa0f6cddf0b,f145ec6cb0917c0d,ATM_DEL_0205,Delhi,Central Delhi,Delhi,28.639486,77.258824,1,Unauthorized ATM Cash-Out,3,DEV_ATM_0205,10.24.166.195,1,34.5,1008.16
TXN_20260601_009004,UTR20260601629317,2026-06-01,01:38:39,2026-06-01 01:38:39,219.63,Debit,UPI,UPI,State Bank of India,209ad8a06f38b8dc,f71b5d958f776ca2,NONE,Alwar,Alwar,Rajasthan,27.571626,76.682541,0,None,0,DEV_2119,103.92.111.30,1,20.4,15796.48
